市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,計
千代田区丸の内１丁目,329,1,1,0,35,0,28,5,2,0,5,0,0,0,0,0,0,0,5,170,0,0,11,0,0,0,4,0,16,61,78,118,82,17,3,0,16,488
千代田区丸の内２丁目,35,1,1,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,2,19,0,0,5,1,0,0,0,0,0,5,8,10,4,2,0,0,4,60
千代田区丸の内３丁目,126,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,16,0,0,4,0,0,0,1,1,2,3,5,107,103,2,0,0,2,134
千代田区大手町１丁目,31,0,0,0,5,0,5,0,0,0,1,0,0,0,1,0,0,0,0,14,0,0,2,0,0,0,1,0,1,2,8,11,5,1,0,0,5,53
千代田区大手町２丁目,17,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,1,0,1,0,0,8,6,0,1,0,1,25
千代田区内幸町１丁目,14,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,3,3,4,3,0,0,0,1,22
千代田区内幸町２丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,3,7
千代田区有楽町１丁目,63,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,5,1,0,0,0,0,3,24,16,8,1,5,0,0,2,87
千代田区有楽町２丁目,114,0,0,0,9,0,7,2,0,0,0,0,0,0,0,0,0,0,0,91,0,0,4,0,0,0,2,0,3,63,19,14,1,6,0,0,7,150
千代田区霞が関１丁目,20,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,14,8,0,2,0,4,36
千代田区霞が関２丁目,14,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,9,26
千代田区霞が関３丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,4
千代田区永田町１丁目,18,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,1,8,0,1,0,0,7,38
千代田区永田町２丁目,19,1,0,1,7,0,2,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,7,5,0,1,0,1,56
千代田区隼町,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6
千代田区平河町１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,4,2,0,1,0,1,6
千代田区平河町２丁目,6,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,18
千代田区麹町１丁目,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,3,15
千代田区麹町２丁目,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9
千代田区麹町３丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,3,5
千代田区麹町４丁目,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6
千代田区麹町５丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
