市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯,計,緯度,経度
千代田区丸の内１丁目,329,1,1,0,35,0,28,5,2,0,5,0,0,0,0,0,0,0,5,170,0,0,11,0,0,0,4,0,16,61,78,118,82,17,3,0,16,488,35.6818718,139.7658469
千代田区丸の内２丁目,35,1,1,0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,2,19,0,0,5,1,0,0,0,0,0,5,8,10,4,2,0,0,4,60,35.6796995,139.7632912
千代田区丸の内３丁目,126,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,1,16,0,0,4,0,0,0,1,1,2,3,5,107,103,2,0,0,2,134,35.6767681,139.764569
千代田区大手町１丁目,31,0,0,0,5,0,5,0,0,0,1,0,0,0,1,0,0,0,0,14,0,0,2,0,0,0,1,0,1,2,8,11,5,1,0,0,5,53,35.6877339,139.7632912
千代田区大手町２丁目,17,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,1,0,1,0,0,8,6,0,1,0,1,25,35.6863398,139.7684028
千代田区内幸町１丁目,14,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,3,3,4,3,0,0,0,1,22,35.6707632,139.7581801
千代田区内幸町２丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,3,7,35.6708509,139.7533888
千代田区有楽町１丁目,63,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,5,1,0,0,0,0,3,24,16,8,1,5,0,0,2,87,35.6752314,139.7607356
千代田区有楽町２丁目,114,0,0,0,9,0,7,2,0,0,0,0,0,0,0,0,0,0,0,91,0,0,4,0,0,0,2,0,3,63,19,14,1,6,0,0,7,150,35.6739601,139.7632912
千代田区霞が関１丁目,20,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,14,8,0,2,0,4,36,35.67445319999999,139.7530694
千代田区霞が関２丁目,14,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,9,0,0,0,0,9,26,35.6757241,139.7505142
千代田区霞が関３丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,4,35.6718914,139.7466817
千代田区永田町１丁目,18,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,3,0,1,8,0,1,0,0,7,38,35.6768,139.7460429
千代田区永田町２丁目,19,1,0,1,7,0,2,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,7,5,0,1,0,1,56,35.6755803,139.741572
千代田区隼町,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,6,35.6818309,139.7428494
千代田区平河町１丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,4,2,0,1,0,1,6,35.682686,139.7399753
千代田区平河町２丁目,6,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,18,35.6808059,139.7402946
千代田区麹町１丁目,7,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,3,15,35.6845411,139.7431687
千代田区麹町２丁目,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,35.6846636,139.740614
千代田区麹町３丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,3,5,35.6844686,139.738698
千代田区麹町４丁目,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,35.68385850000001,139.7364627
千代田区麹町５丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,35.6838221,139.7342276
千代田区麹町６丁目,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,4,2,0,1,0,1,11,35.6850919,139.7316732
千代田区紀尾井町,20,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,0,0,0,1,8,7,3,1,0,0,3,28,35.6810509,139.7351855
千代田区一番町,8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,1,1,3,0,0,0,0,3,12,35.6870561,139.741572
千代田区二番町,7,0,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,2,19,35.6861535,139.7364627
千代田区三番町,20,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,1,6,9,5,1,0,0,3,32,35.6903762,139.7441268
千代田区四番町,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,35.6889609,139.73774
千代田区五番町,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,1,0,0,0,0,1,2,2,3,2,0,0,0,1,16,35.689718,139.7339083
千代田区六番町,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,35.6874232,139.7339083
千代田区皇居外苑,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,2,10,35.6796282,139.7588189
千代田区日比谷公園,7,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,2,0,0,1,15,35.6740123,139.7562635
千代田区北の丸公園,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,1,12,35.6917911,139.7505142
千代田区九段南１丁目,11,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,1,5,0,3,1,0,1,23,35.6941223,139.75275
千代田区九段南２丁目,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,1,0,2,0,1,5,35.6936962,139.7466817
千代田区九段南３丁目,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,35.6923173,139.74253
千代田区九段南４丁目,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8,35.6913534,139.738698
千代田区九段北１丁目,9,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,1,3,0,0,24,35.6962224,139.7508336
千代田区九段北２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,35.6955761,139.7463623
千代田区九段北３丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,35.6944535,139.7428494
千代田区九段北４丁目,9,0,0,0,3,0,2,0,1,0,1,0,0,0,1,0,0,0,0,5,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,23,35.6929158,139.7390173
千代田区富士見１丁目,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,6,35.6971385,139.7466817
千代田区富士見２丁目,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,2,3,5,2,1,1,0,1,11,35.6978957,139.7428494
千代田区飯田橋１丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,4,35.6985298,139.749077
千代田区飯田橋２丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,2,1,0,0,0,1,6,35.6990911,139.7508336
千代田区飯田橋３丁目,13,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,2,3,3,3,0,0,0,0,17,35.7016058,139.7492367
千代田区飯田橋４丁目,19,0,0,0,5,0,4,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,0,0,0,1,0,2,5,1,3,0,0,1,39,35.7009469,139.746522
千代田区一ツ橋１丁目,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,35.6913255,139.7572218
千代田区一ツ橋２丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,35.69330310000001,139.7578606
千代田区神田神保町１丁目,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,3,0,0,0,0,0,2,15,2,1,0,1,0,0,0,23,35.6938735,139.7596808
千代田区神田神保町２丁目,27,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,5,0,0,1,0,0,0,0,5,11,6,2,1,0,2,47,35.69680719999999,139.7565829
千代田区神田神保町３丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,3,2,0,0,0,1,7,35.6956235,139.754347
千代田区神田三崎町１丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,35.701141,139.7559441
千代田区神田三崎町２丁目,21,1,0,1,5,0,3,1,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,4,2,5,4,1,1,0,0,2,50,35.7002135,139.754347
千代田区神田三崎町３丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,2,3,1,0,0,0,2,7,35.700751,139.7521112
千代田区西神田２丁目,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,35.6985898,139.7553053
千代田区神田猿楽町２丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,35.6998709,139.7584995
千代田区神田駿河台１丁目,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,2,0,0,1,10,35.6979655,139.7623328
千代田区神田駿河台２丁目,25,0,0,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,1,0,2,6,7,4,2,2,0,0,0,41,35.700322,139.761055
千代田区神田駿河台３丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,35.696695,139.7648885
千代田区神田駿河台４丁目,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,35.6986726,139.7655274
千代田区神田錦町１丁目,17,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,11,3,2,1,1,0,0,0,21,35.6918482,139.7642496
千代田区神田錦町２丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,35.6919097,139.7629717
千代田区神田錦町３丁目,13,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,2,7,4,0,0,0,3,17,35.6924477,139.7607356
千代田区神田小川町１丁目,16,0,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0,0,0,10,0,0,1,0,0,0,1,0,2,4,2,3,0,2,0,0,1,26,35.6949121,139.7661664
千代田区神田小川町２丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,2,1,1,0,0,0,7,35.6947174,139.7642496
千代田区神田小川町３丁目,10,0,0,0,3,0,3,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,3,0,2,0,0,1,0,1,24,35.6952553,139.7620134
千代田区神田美土代町,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,35.6929344,139.7655274
千代田区内神田１丁目,11,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,3,6,1,1,0,0,4,13,35.691054,139.7658469
千代田区内神田２丁目,14,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,5,4,2,0,0,0,2,20,35.6905159,139.7680833
千代田区内神田３丁目,35,0,0,0,5,0,1,3,0,1,6,0,0,0,6,0,0,0,0,20,0,0,3,1,0,0,0,0,2,6,8,4,1,1,0,0,2,67,35.6912843,139.7700002
千代田区神田司町２丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,35.693129,139.7674443
千代田区神田多町２丁目,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,35.6933236,139.7693612
